,0
0,parking
1,library
2,post_box
3,fast_food
4,fuel
5,telephone
6,recycling
7,restaurant
8,fountain
9,bank
10,bench
11,shelter
12,grave_yard
13,university
14,pharmacy
15,ferry_terminal
16,place_of_worship
17,drinking_water
18,toilets
19,hospital
20,atm
21,pub
22,public_building
23,vending_machine
24,post_office
25,police
26,townhall
27,kindergarten
28,cinema
29,nightclub
30,fire_station
31,school
32,taxi
33,parking_entrance
34,biergarten
35,theatre
36,arts_centre
37,college
38,bicycle_parking
39,car_rental
40,clock
41,cafe
42,wifi
43,waste_basket
44,car_sharing
45,bar
46,wlan
47,doctors
48,ice_cream
49,water_point
50,dentist
51,research_institute
52,community_centre
53,bus_station
54,nursing_home
55,waste
56,car_wash
57,grit_bin
58,hunting_stand
59,courthouse
60,kneipp_water_cure
61,driving_school
62,senior_residence
63,studio
64,parking_space
65,veterinary
66,red_cross
67,bicycle_rental
68,stables
69,education
70,charging_station
71,emergency_service
72,public_bookcase
73,artwork
74,auditorium
75,brothel
76,bbq
77,TÜV
78,feeding_place
79,social_facility
80,social_centre
81,bench;waste_basket
82,dog_training
83,video games
84,solarium
85,closed
86,motorcycle_parking
87,water
88,baby_hatch
89,gambling
90,shower
91,waste_disposal
92,casino
93,vehicle_inspection
94,food_court
95,marketplace
96,language_school
97,table
98,swingerclub
99,art space
100,dancing_school
101,abandond
102,watering_place
103,youth_centre
104,healthcare
105,photo_booth
106,training
107,masonic_lodge
108,compressed_air
109,music_school
110,sanitary_dump_station
111,sauna
112,building_yard
113,boat_rental
114,dojo
115,advertising
116,astrology
117,disused
118,concert_hall
119,clinic
120,animal_shelter
121,monastery
122,craft
123,childcare
124,club
125,prison
126,stripclub
127,jobcentre
128,conference_centre
129,catering
130,advertising agency
131,ticket_validator
132,lockers
133,bedding
134,loading_dock
135,binoculars
136,bicycle_repair_station
137,locker
138,office
139,bts
140,departures_board
141,community_center
142,luggage_locker
143,safety_training
144,customs
145,events_venue
146,weighbridge
147,animal_boarding
148,pharmacy;cafe
149,vacuum_cleaner
150,scrapyard
151,tree
152,lost_property_office
153,animal_breeding
