,0
0,parking
1,library
2,post_box
3,fast_food
4,fuel
5,telephone
6,recycling
7,restaurant
8,fountain
9,bank
10,bench
11,shelter
12,grave_yard
13,university
14,pharmacy
15,ferry_terminal
16,place_of_worship
17,drinking_water
18,toilets
19,hospital
20,atm
21,pub
22,public_building
23,vending_machine
24,post_office
25,police
26,townhall
27,kindergarten
28,cinema
29,nightclub
30,fire_station
31,school
32,taxi
33,parking_entrance
34,biergarten
35,theatre
36,arts_centre
37,college
38,bicycle_parking
39,car_rental
40,clock
41,cafe
42,wifi
43,waste_basket
44,car_sharing
45,bar
46,wlan
47,doctors
48,ice_cream
49,water_point
50,dentist
51,research_institute
52,community_centre
53,bus_station
54,nursing_home
55,waste
56,car_wash
57,grit_bin
58,hunting_stand
59,courthouse
60,kneipp_water_cure
61,driving_school
62,senior_residence
63,studio
64,parking_space
65,veterinary
66,red_cross
67,bicycle_rental
68,stables
69,education
70,charging_station
71,emergency_service
72,public_bookcase
73,artwork
74,auditorium
75,brothel
76,bbq
77,TÜV
78,feeding_place
79,social_facility
80,social_centre
81,bench;waste_basket
82,dog_training
83,video games
84,solarium
85,closed
86,motorcycle_parking
87,water
88,baby_hatch
89,gambling
90,shower
91,waste_disposal
92,casino
93,vehicle_inspection
94,food_court
95,marketplace
96,language_school
97,table
98,swingerclub
99,art space
100,dancing_school
101,abandond
102,watering_place
103,youth_centre
104,healthcare
105,photo_booth
106,training
107,masonic_lodge
108,compressed_air
109,music_school
110,sanitary_dump_station
111,sauna
112,building_yard
113,boat_rental
114,dojo
115,advertising
116,astrology
117,disused
118,concert_hall
119,clinic
120,animal_shelter
121,monastery
122,craft
123,childcare
124,club
125,prison
126,stripclub
127,jobcentre
128,conference_centre
129,catering
130,advertising agency
131,ticket_validator
132,lockers
133,bedding
134,loading_dock
135,binoculars
136,bicycle_repair_station
137,locker
138,office
139,bts
140,departures_board
141,community_center
142,luggage_locker
143,safety_training
144,customs
145,events_venue
146,weighbridge
147,animal_boarding
148,pharmacy;cafe
149,vacuum_cleaner
150,scrapyard
151,tree
152,lost_property_office
153,animal_breeding
154,playground
155,park
156,slipway
157,picnic_table
158,track
159,common
160,water_park
161,swimming_pool
162,fitness_centre
163,bird_hide
164,pitch
165,nature_reserve
166,sports_centre
167,miniature_golf
168,garden
169,stadium
170,marina
171,ropes_course
172,horse_riding
173,hackerspace
174,barefoot
175,fishing
176,tanning_salon
177,bowling_alley
178,amusement_arcade
179,dance
180,firepit
181,spring_board
182,adult_gaming_centre
183,fitness_station
184,diving_platform
185,dancing
186,viewpoint
187,attraction
188,hotel
189,museum
190,information
191,hostel
192,picnic_site
193,guest_house
194,camp_site
195,zoo
196,apartment
197,chalet
198,caravan_site
199,Weinbergshaus
200,motel
201,Ferienwohnung Heidi
202,cellar_door
203,wine_cellar
204,yes
205,"artwork, culture"
206,gallery
207,theme_park
208,Galerie
209,supermarket
210,bakery
211,kiosk
212,vacant
213,doityourself
214,convenience
215,newsagent
216,bicycle
217,butcher
218,salon
219,furniture
220,books
221,beverages
222,variety_store
223,car
224,video
225,electronics
226,gift
227,car_repair
228,florist
229,shoes
230,winery
231,computer
232,hairdresser
233,stationery
234,chemist
235,clothes
236,tea
237,optician
238,sports
239,garden_centre
240,musical_instrument
241,beauty
242,greengrocer
243,copyshop
244,dry_cleaning
245,toys
246,seafood
247,dog_hairdresser
248,farm
249,art
250,deli
251,hifi
252,laundry
253,travel_agency
254,motorcycle
255,outdoor
256,wine
257,grocery
258,second_hand
259,alcohol
260,cosmetics
261,hardware
262,cutlery
263,pet
264,confectionery
265,communication
266,massage
267,frame
268,car_service
269,department_store
270,perfumery
271,auction_house
272,trophy
273,tailor
274,music
275,coffee
276,fashion
277,tyres
278,bed
279,boutique
280,jewelry
281,mobile_phone
282,interior_decoration
283,tobacco
284,erotic
285,outdoor; travel_agency
286,baby_goods
287,carpenter
288,fishmonger
289,general
290,carpet
291,funeral_directors
292,hearing_aids
293,car_parts
294,furnace
295,photo
296,curtain
297,window_blind
298,vaccant
299,lottery
300,houseware
301,bag
302,video_games
303,fabric
304,charity
305,kitchen
306,antiques
307,medical_supply
308,hunting
309,betting
310,bookmaker
311,tattoo
312,trade
313,hvac
314,auction
315,e-cigarette
316,beaty
317,newspaper
318,phone
319,headshop
320,paint
321,Hausverwaltungsbüro www.rn3.de
322,no
323,nail_salon
324,pambling
325,insurance
326,video;clothes
327,online
328,printshop
329,appliance
330,hats
331,tobacco;newspaper
332,pawnbroker
333,tombstones
334,collector
335,decoration
336,podiatrist
337,newspapers
338,modeling
339,call_shop
340,"shoe_repair, key service"
341,medical
342,hairdresser_supply
343,bathroom_furnishing
344,ticket
345,self_storage
346,oet
347,luminaires
348,household-appliances
349,bath
350,ped
351,vinery
352,leather
353,estate_agent
354,fixme
355,print_shop
356,Tradittional Thai Massage
357,radiotechnics
358,Reha-Fachhandel
359,chocolate
360,dessous
361,pottery
362,cleaning
363,weapons
364,mall
365,rental
366,organic
367,watches
368,office_supplies
369,confectionery;bakery
370,generic
371,weighing_machines
372,coffee;tea;chocolate;deli
373,Regalvermietung
374,cartography
375,lamps
376,wigs
377,energy
378,sewing
379,photo_studio
380,robot
381,"greengrocer, florist"
382,fireplace
383,scuba_diving
384,motorcycle_repair
385,printing
386,bookmaher
