,0
0,supermarket
1,bakery
2,ice_cream
3,kiosk
4,vacant
5,doityourself
6,convenience
7,newsagent
8,bicycle
9,butcher
10,salon
11,furniture
12,books
13,beverages
14,variety_store
15,car
16,video
17,electronics
18,yes
19,gift
20,car_repair
21,florist
22,shoes
23,winery
24,computer
25,hairdresser
26,stationery
27,chemist
28,clothes
29,tea
30,optician
31,sports
32,garden_centre
33,musical_instrument
34,beauty
35,greengrocer
36,copyshop
37,dry_cleaning
38,toys
39,seafood
40,dog_hairdresser
41,telephone
42,farm
43,art
44,deli
45,hifi
46,laundry
47,travel_agency
48,motorcycle
49,outdoor
50,wine
51,solarium
52,grocery
53,second_hand
54,alcohol
55,cosmetics
56,hardware
57,cutlery
58,pet
59,confectionery
60,communication
61,massage
62,frame
63,car_service
64,department_store
65,perfumery
66,auction_house
67,trophy
68,tailor
69,music
70,coffee
71,fashion
72,tyres
73,bed
74,boutique
75,jewelry
76,mobile_phone
77,interior_decoration
78,closed
79,tobacco
80,erotic
81,outdoor; travel_agency
82,baby_goods
83,carpenter
84,fishmonger
85,general
86,carpet
87,funeral_directors
88,hearing_aids
89,car_parts
90,furnace
91,photo
92,curtain
93,window_blind
94,vaccant
95,lottery
96,houseware
97,bag
98,video_games
99,fabric
100,charity
101,kitchen
102,antiques
103,medical_supply
104,hunting
105,betting
106,bookmaker
107,tattoo
108,trade
109,hvac
110,auction
111,e-cigarette
112,beaty
113,newspaper
114,phone
115,headshop
116,paint
117,Hausverwaltungsbüro www.rn3.de
118,no
119,nail_salon
120,pambling
121,insurance
122,fuel
123,video;clothes
124,online
125,printshop
126,appliance
127,hats
128,tobacco;newspaper
129,pawnbroker
130,tombstones
131,collector
132,decoration
133,catering
134,podiatrist
135,newspapers
136,modeling
137,call_shop
138,"shoe_repair, key service"
139,medical
140,fishing
141,hairdresser_supply
142,bathroom_furnishing
143,ticket
144,self_storage
145,vacuum_cleaner
146,oet
147,luminaires
148,clock
149,household-appliances
150,bath
151,ped
152,vinery
153,leather
154,estate_agent
155,fixme
156,print_shop
157,Tradittional Thai Massage
158,radiotechnics
159,Reha-Fachhandel
160,craft
161,chocolate
162,dessous
163,pottery
164,cleaning
165,weapons
166,mall
167,rental
168,organic
169,watches
170,office_supplies
171,confectionery;bakery
172,generic
173,weighing_machines
174,coffee;tea;chocolate;deli
175,Regalvermietung
176,cartography
177,lamps
178,wigs
179,energy
180,sewing
181,photo_studio
182,robot
183,"greengrocer, florist"
184,fireplace
185,scuba_diving
186,motorcycle_repair
187,printing
188,bookmaher
